names,course_id,units,description,learning_outcome
AI for Public Policy,90769,None," With the rapid development of algorithmic and computing power as well as tech industry’s capacity to collect massive data, Artificial Intelligence (AI) techniques have increasingly become a ubiquitous part of our everyday lives, ranging from fields such as communication, healthcare, finance, policing and workplace management. Instead of studying AI as a purely technical subject, in this course, we will critically examine the most recent developments and deployments of AI from a social, cultural and policy perspective. Drawing upon real-world cases, this course will introduce students to the basic concepts and main topics to think AI socially, help them understand the potential benefits and pitfalls of various contemporary AI applications, and think toward future AI systems that can deliver greater social good.","Learning Outcomes: * Raise intellectual questions about the social, cultural and policy dimensions of AI in various social domains * Identify potential benefits and pitfalls (e.g. bias) in existing AI applications * Develop and deliver (both written and oral presentation) policy memos on AI systems that can yield greater societal benefits"
Public Expenditure Analysis,90774,12," The full description can be found here: http://www.andrew.cmu.edu/user/rs9f/public_expenditure_analysis.pdf This is a companion course to Public Finance, 90-736, and is designed to deal with the expenditure side of the public sector budget in a series of modules. It has been conceptualized as a blending of private and public capital budgeting principles. The former provides a systematic framework, for the evaluation of private- sector projects, while the latter builds on the former, and introduces issues of externalities, shadow pricing, and the social rate of discount. The two courses, Public Finance and Public Expenditure Analysis, may be viewed as capstone courses for those Heinz students seeking careers in the public sector, or those parts of the private sector that routinely deal with the public sector. Students from across campus are welcome to enroll. The course is divided into 4 modules. In Module 1, the course develops the essential techniques of private sector evaluation principles. In Module 2, special problems which arise in the evaluation of public sector projects are discussed; a variety of evaluation techniques and applications especially suited to public sector projects are then examined. In Module 3, actual cost-benefit studies in the policy areas of education, environment, health, criminal justice, transportation and recreation are examined. In Module 4, evaluation at a high level of aggregation is dealt with through the use of generational accounting models. These models are examples of aggregate long and short-term public evaluation problem areas typically dealt with by national governments. Also in Module 4 groups of students perform and report a critical review of a cost-benefit study they have chosen. Throughout the course, similarities and differences between the public sector and private sector are emphasized, and examples from the real world are discussed in class. The course presumes that the student has had courses in microeconomics and economic statistics, owns a calculator capable of doing x^(a/b) or x^(1.36), and is familiar with the use of spreadsheet packages on a personal computer. Students are expected to bring their calculator to each class, and perform calculations in conjunction with class activities.",
Intermediate Statistical Methods,90777,6," This introductory course in data analysis and statistical inference requires no background in statistics. Its objective is to provide individuals who aspire to enter management or policy analysis positions with the basic statistical tools for analyzing and interpreting data. The course is divided into three distinct modules: descriptive statistics, statistical inference, and regression analysis. The emphasis of the classes on descriptive statistics is the calculation and interpretation of summary statistical measures for describing raw data. The sessions on statistical inference are designed to provide you with the background for executing and interpreting hypothesis tests and confidence intervals. The final component of the course focuses on regression analysis, a widely used statistical methodology. Throughout the course you will regularly analyze data relevant to management and policy analysis using the Excel statistical software package.",Learning Outcomes: -Apply statistical tools to analyze problems in IT and PP - Describe the merits and limitations of statistics to IT and PP applications - Characterize data with appropriate statistical tests - Use common statistical tools to answer problems quantitatively - Interpret statistical analyses - Appreciate the interpretation of statistical models as a source of knowledge to guide decision-making
Media And Public Policy,90778,6," This course will examine the influence of the media on public policy in the United States. During the mini, students will join the instructor in considering various explanations of how the news (and other activities of journalists) affects the policymaking process. This will involve exposure to the major themes of media influence in American politics. We will also consider the role of the media in elections, in public policy debates, and in public opinion formation. Through lots of readings, discussion, and expert guest visitors, we want to understand how the media influences American politics and policy, as well as why the media behaves the way it does. Working in teams, students will complete a project during the mini that involves drafting a “media strategy analysis” for some organization promoting a major policy issue of current importance.","Learning Outcomes: Students will leave the course with a better understanding of the role of the media in American public life, with practical experience in the analysis of news, with knowledge of the laws that affect the media, and with some sense of how to interact with journalists and media when participating in policy-making."
Multi-Media,90782,12," This course is about communication. Specifically, we will use various media elements (text, images, animation, video and sound) to form communicative units. The purpose of a multimedia piece is to communicate a message to the audience. The goal of this course is to use type, color, illustrations, images, sound, animation and video to produce professional materials. This course will teach a combination of graphic design skills and software skills. Students will also learn the terminology, procedures and production requirement to effectively communicate with ad agencies, design firms and commercial printers. Throughout the course students will learn the skills of the following applications: • Adobe InDesign CC • Adobe Illustrator CC • Adobe Photoshop CC • Apple Garageband • Adobe Animate (Flash) CC • Apple Final Cut Pro/Adobe Premiere Each of the above software programs will have one or two projects/assignments that will be completed by the student. These applications are available in the classroom as well as several public clusters. While the class offers a jump-start to these applications, students are expected to explore the higher level features on their own. Another resource is the Internet - which offers a wealth of tips and techniques for these applications.","Learning Outcomes: By the end of the class you will be able to... • Create professional multi-media material using a variety of Adobe/Apple software. • Be able to effectively communicate to your target audience using a variety of mutli-media programs. • Become familiar with media design principles. • Become familiar with graphic design/multi-media terminology. • Be able to effectively communicate with clients, design firms and media content professionals."
Policy Innovation Lab,90783,6," The Policy Innovation Lab is a new initiative that connects students with actual, current state-level policy challenges, and connects state-level policy makers with solutions to those challenges. This course is an experiment in improving public policy through by working outside the traditional structures of government. In order to be successful, this course will embrace a culture that expects and encourages rapid experimentation, a willingness to fail early in order to discover a solution that ultimately works, and a flat structure that provides students with an opportunity to deliver for our government partners. Students will work to solve pressing challenges by redefining the problem in terms of understanding the affected users of systems, conducting user-centered research, designing solutions, testing those same solutions, and iteratively improving those outcomes. This course is designed to take advantage of recent lessons learned in applied innovation in government entities around the world. The actual outcomes will be heavily dependent on both the needs of the problem sets for each course as well as the skills of the students. The course will apply some methodologies commonplace in industry like agile, design-thinking, and open source to deliver products and services that have the potential to live on beyond the course. For public-facing projects, work will be done in a transparent manner where possible in order to encourage external participation. Some examples of potential outcomes might include prototyping a service to match entrepreneurs with funding opportunities in government; a GIS-based web application to connect those looking for housing assistance programs with government services; or an economic impact analysis of a particular industry or sector.","Learning Outcomes: Course Objectives This course is intended to: 1. Enhance your awareness of the ubiquity and power of stories. 2. Increase your understanding of the role of storytelling in public life. 3. Improve your ability to use stories in designing, communicating and implementing policy. 4. Sharpen your storytelling skills and your ability to match stories to audiences and policy objectives. Approach Although—as we hope to demonstrate—the principles of this course are timeless, the idea of “political narrative” is of comparatively recent vintage. Consequently, there are no standard texts for the material we will cover. Students will be encouraged to question the premises of the course and expected to participate actively in classroom discussion. Storytelling is an art that’s improved through practice, and we’ll provide ample opportunity to hone your skills—in presentations, papers, and classroom discussion."
Financing the Public Good,90788,6," From the earliest days of the republic to the present, government at all levels (federal, state and local) has invested in the physical and social infrastructure that underpins our now advanced and sophisticated economy. The resulting fiscal relationships have been controversial, with Washington spending trillions in grants and other assistance, but with conditions, or “strings” that state and local governments often find onerous and intrusive. Furthermore, federal budget deficits are now forcing political leaders in Washington to find ways to curtail spending, with many assistance programs potentially on the chopping block and states left to enforce federal standards with less money. This seminar examines the decisions political leaders must make to pay for the “public good.” Should highways, for example, be funded by users (through tolls), by vehicle owners (through a gasoline tax) or by all taxpayers (who benefit from highways even if they do not drive)? Should the federal government be forcing states to implement federal standards, like raising the drinking age as a condition for receiving federal highway funds? How will such developing technologies and behaviors as electric vehicles and ride sharing change the economics and politics of funding our transportation infrastructure? How can the federal government balance the budget without shortchanging vital national priorities? The seminar will focus on the tough choices policymakers face over taxation and spending at all levels of government through case studies that illustrate the issues. Students will develop briefing papers and lead class discussions that explore how federal, state and local interests can align or collide depending on the issue. The seminar encourages students to improve their decision making experience over complex issues of politics and government finance, and skillsets at analyzing and explaining policy issues in a debate setting.",
Sustainable Community Development,90789,12," This course examines past and current community development topics and trends associated with creating and/or maintaining sustainable communities. Such topics include sustainable development, creative capitalism, regional planning and visioning, governance, regional equitable development, sustainable business practices, green/clean tech, smart growth and smart transportation, carbon management, resource conservation, local living economies, energy systems and strategies, dynamics of neighborhoods, among other topics. Emphasis will fall on how these various dimensions need to strategically align to promote sustainable communities amidst their complexities. The class will also delve into a variety of green and sustainable development practices to provide frameworks for integrating traditional community development practices with sustainable development practices. The class takes lessons from the past (both what has worked and what did not work) as well as appropriate, current practices and explores how to apply them to a variety of community situations and conditions. The focus is on urban communities in the U.S and worldwide, both large and small. The course includes experiential, hands-on learning (projects, case studies, analyses, presentations,field trips, and guest lectures) as well as reflective components (readings, discussion, and papers).","Learning Outcomes: • Learn and deploy sustainable and green development practices and how to integrate these techniques into community development strategies; • Evaluate and design various public planning and policy initiatives on the formation of places; and • Engage with communities with appropriate processes and strategies to enhance their resilient capacities as they face environmental, economic, and social challenges."
Integrated Community Energy Systems,90793,12," Integrated community energy systems (ICESs) are an emerging strategy to meet local energy needs and to provide system services to the central grid, adding resilience to both systems. ICES integrate available environmental and technical resources and reflect the local socioeconomic and institutional context. Consequently, each ICES will be distinct and will reflect time-dependent local thermal and electrical energy requirements and the political appetite for local energy infrastructure. 48-761 (cross-listed with 90-793) is a new graduate class that examines the technical and environmental characteristics of existing ICES and the political and regulatory context that supports them. The class is designed to introduce students to the design and operation of ICES and to the impact of policy and regulation in facilitating or discouraging their creation. Globally, countries are seeking strategies to make energy infrastructure more robust and sustainable in the face of climate change and the demands of growing and developing populations. This course provides a focused look at integrated community systems as a promising approach to reshape our energy landscape. The course will focus on energy demands and supply in the built environment, although integration with the transportation and industrial sectors will be discussed within the context of existing case studies. Prerequisites: registering students should understand conventional energy infrastructure and applied thermal and electrical energy use within buildings. They should also have an appreciation for policy and regulation and the ability to read and understand regulatory language. The course is project based and students will apply what they learn in class to local projects. District energy system modeling will be introduced, although students are not required to master it. For their final projects, students can concentrate on either technical or policy/regulatory aspects of ICES since both are critical to their development.",
Environmental Policy And Planning,90798,12," Environmental Policy and Planning provides an introduction to how environmental policies have been and can be designed/created, implemented, and evaluated amidst complex information-based, social, political, and cultural processes. The course emphasizes a systems-based methodological approach for addressing the complexities involved in framing, analyzing, and designing an implementation plan for policy construction. The course also explores through landmark and contemporary case studies several dimensions of environmental policymaking: * Contextual, historical, and structural aspects of environmental policymaking at the local, state, federal, and international levels * Use of quantitative and qualitative analytical tools (from the core program as well as new tools) * The process of how policies derive their meaning. Students in this course work on a final environmental policy project to demonstrate mastery of the knowledge and skill-based exercises explored during the term.","Learning Outcomes: * Learn and deploy a systems-based approach towards structuring and analyzing an environmental policy decision situation * Connect several analytical tools to policymaking processes, such as rate and weight decision methods, optimization, decision analysis and decision trees, economic modeling, risk analysis, and GIS * Evaluate and design potential alternative policy solutions * Propose strategic ways of engaging with social and political processes in order to advance policy solution goals * Assess how the courses tools relate to career goals and objectives"
Media & Communication Design I,90801,6," Desktop publishing combines the personal computer and graphic design software to create printed documents. This course will focus on using desktop publishing software to effectively communicate messages in printed form. The goal of this course is to use the combination of type, color, shapes, illustrations and images to produce professional printed materials. The skills learned in this course can easily be translated to be used in other media. This course will teach a combination of graphic design skills and software skills. Each class will consist of two thirds lecture and one third hands-on work with the software. The software being taught is Adobe InDesign Creative Cloud (CC), Adobe Illustrator CC and Adobe Photoshop CC. Students will gain experience in preparing documents that are professional in form and content. Student will learn how to design and publish products such as newsletters, posters, logos, packaging, signs, books, flyers, magazines, annual reports, invitations and advertisements. Students will also learn the terminology, procedures and production requirement to effectively communicate with ad agencies, design firms and commercial printers. Course Structure • Class will usually consist of two thirds lecture and one third hands-on work with the software. • Class attendance and participation is critical to learning in this class. • There will be some readings. I will post these on Canvas. • I strongly suggest the purchasing of a USB - Jump - Flash portable storage device. • Students are subject to Carnegie Mellon University’s policies on academic integrity. Plagiarism is a serious offense that can result in the student failing the course. Note that all academic integrity violations will be reported to the Associate Dean. Additional penalties may be imposed.","Learning Outcomes: By the end of the class you will be able to... • Be able to effectively communicate to your target audience using printed materials. • Create professional printed material using a variety of Adobe software. • Become familiar with graphic design principles. • Become familiar with graphic design/desktop publishing terminology. • Be able to effectively communicate with ad agencies, design firms and commercial printers."
Public Policy Analytics: Cases and Issues,90802,6," How can an algorithm used to identify children at risk of mistreatment be hailed as a success in Pennsylvania, “useless” in New Zealand and the subject of legal action by citizens in Scotland? Are data techniques applied to the criminal justice systems prone to racial bias? What rights should citizens have over the dissemination and use of data collected on them by governments? What redress should citizens have when data anonymized by governments is re-identified? We all know that the same big data techniques applied successfully in the commercial world are being turned to use by governments. However, the relationship between governments and their citizens is vastly more complex than the relationship between companies and their existing and prospective customers. This course focuses on the management issues that arise for governments looking to big data applications for better performance. In taking this perspective it traverses the various levers available to governments such as legislation, administrative reform and participative democracy as well as the pitfalls. The ultimate aim is to develop sound understandings of the principles which public policy professionals using big data techniques can apply to achieve successful outcomes for both governments and their citizens. The course concludes with a critical examination of some contemporary issues emerging from the use of dig data in the public policy arena such as perceptions of disempowerments and assertions of accountability deficits.",
Media & Communication Design II,90804,6," This course builds on the Desktop Publishing 1 class. In the Desktop Publishing 1 class we focused on print design, in the Desktop Publishing 2 class we will expand to infographic design, audio, animation and video. We will explore Adobe Illustrator to create info graphics. We will be using Apple Garageband to create a podcast, Adobe Animate (formerly Flash) to create animations and Apple Final Cut Pro/Adobe Premiere to create videos. The goal of this course is produce professional materials using type, color, illustrations, images, sound, animation and video. These materials will be able to engage and influence your target audience. This course will teach a combination of media design skills and software skills. Throughout the course students will learn the skills of the following applications: • Adobe Illustrator CC • Apple Final Cut Pro • Apple Garageband • Adobe Premiere • Adobe Animate (Flash) CC Each of the above software programs will have one project/assignment that will be completed by the student. These applications are available in the classroom as well as several public clusters. While the class offers a jump-start to these applications, students are expected to explore the higher level features on their own. Another resource is the Internet - which offers a wealth of tips and techniques for these applications. Prerequisite: Desktop Publishing 90-801","Learning Outcomes: By the end of the class you will be able to... • Create professional multi-media material using a variety of Adobe/Apple software. • Be able to effectively communicate to your target audience using a variety of mutli-media programs. • Become familiar with media design principles. • Become familiar with graphic design/multi-media terminology. • Be able to effectively communicate with clients, design firms and media content professionals."
Energy Policy,90808,6," This seminar will provide an introduction to modern U.S. energy policy. Our goal will be to understand, from a practical perspective, how economics, , technology, politics, public opinion, national security, and environmental / climate considerations all influence the development and implementation of policy. Questions that we will address include: How has U.S. energy policy changed over the years and what lessons have we learned from past initiatives? How much influence does government really have? How have new technologies changed the energy landscape? What priority do national leaders give to energy policy? And how does energy policy impact our relationships with other countries? The class will begin with an overview of the energy sector and the related government structure. After covering some historical context, we will discuss Presidential initiatives and legislative activity, with a particular focus on more recent activities. We will then consider some case studies, such as the Keystone Pipeline, EPA's Clean Power Plan, and the development of the Marcellus Shale, that demonstrate conflicting viewpoints about appropriate energy policy. The class will also explore international energy issues like exports of liquefied natural gas and crude oil exports, as well as the Paris Climate Agreement. This course is a seminar class; I will provide a framework and then guide a discussion among the students. Depending on the particular class session, we will have individual or group presentations. Your preparation and participation is essential. Each session will begin with a short review and discussion of current events in the energy sector. We will also hear from guest speakers, including a number of current and former senior government officials.","Learning Outcomes: By the end of this class, students should have a solid understanding of the issues and the players involved in the development and implementation of U.S. energy policy. Students should be able to articulate the relevant policy considerations and the trade-offs associated with various energy initiatives. You should be able to draw upon historical examples and develop recommendations for current and future energy policy in the U.S."
Introduction to Programming with Python,90812,6," **If you have taken Python for Developers or Data Focused Python, do not enroll in this course.** This mini-length course focuses on the fundamentals of computer programming using the Python interpreted programming language. Students will develop his or her problem solving skills using the divide-and-conquer and top-down approaches to build standalone software applications. Assignments will include hands-on lab practice coding, weekly fundamental theoretical checkpoint quizzes, divide-and-conquer approach programming projects, and an examination to test essential programming and problem solving skills. OOP (object oriented programming) will be used in this course. Learners will study how to build professional, user-friendly computer programs applicable to real-world usage in such areas as public policy and security analysis. This course is designed for people with little or no programming knowledge; it is a good introduction to OOP programming. If you take this course, you do not want to take Python for Developers nor Data Focused Python.","Learning Outcomes: 1. Use the Python IDLE integrated development environment in interactive and script mode to both test code snippets and author professional programs. 2. Learn Windows text command line and Macintosh terminal usage for writing and executing Python source code. 3. Develop problem solving skills through practice and understanding of the divide-and-conquer and top-down approaches. 4. Form and manipulate sequences of data (such as lists, dictionaries, tuples). 5. Produce modules of functions and class definitions for code reuse."
Environmental Politics and Policy,90813,6," Engineers, scientists, policymakers, industry, environmental groups, and the public all influence environmental policy making, and should have an understanding of past and current environmental issues, technologies, policies, programs, and politics. Using a case study approach, students will learn how to how to use program evaluation to analyze the effectiveness of past policies (e.g., CFCs, DDT) and apply the lessons learned to conduct policy analysis of current environmental challenges (e.g., nanotechnology, climate change). Students will gain an understanding of the variety of policy mechanisms available to attain environmental goals including the use of voluntary standards. Student interest will guide topic selection for both issues discussed in class and for project work. Class time will include a combination of faculty and guest speaker lectures, discussion of issues, videos, and problem solving time. While the course has no prerequisites, students should feel comfortable with scientific and technical topics.",
Public Private Partnerships I: Theory and Design,90814,6," Both governments and the private sector continue to grow their knowhow in using Public Private Partnerships (PPP's) for providing infrastructure. The result is the creation of a substantial body of research and theory on both the method and management of these projects. Much of it is based on successes as well as the lessons learned from projects that experienced problems and some that just plain failed. This accumulated knowledge provides students with the opportunity to gain an in-depth understanding of the successes and failures so they and the governments they serve can learn from the experiences of others, avoiding the need to learn about the pitfalls the hard way. Carnegie Mellon University Australia has designed two, complementary courses to give students a comprehensive understanding of both PPP theory and the successful delivery and management of PPP projects. The courses draw upon both established theory as well as case studies. The content also focuses on developing management skills specific to the area of PPP's, particularly the successful execution of PPPs in the context of developing countries.",
Education Finance and Policy,90817,12," The purpose of this Heinz course is to introduce professional master’s students to the special problems of financing regional governments in a decentralized federal system with a special focus on public education. The course i] reviews theories of federalism from economic and constitutional perspectives, ii] reviews the evolution of the United States from a confederation to a federation, iii] examines financial and political problems associated with jointure, iv] reviews alternative rationales for public financing and provision of education (k-16), v] analyzes distressed school systems and municipal governments, vi] reviews the international evidence on estimated economic returns and distributional effects of k-16 public education and the use of cost-effectiveness and educational production functions, vii] school budgeting issues, viii] the school property tax, ix] intergovernmental relations and the design of school aid formulas, and x] the measurement and implications of student achievement. These issues are examined from positive and normative perspectives, and through the lens of economics and political economy. Students taking the course are expected to be conversant in basic statistics and its application on a micro-computer, know something about financial accounting or at least have an interest in it, have had an introductory course in micro-economics, and able to apply statistics and economics to real world problem sets that involve the manipulation of data and administrative records. Students who have had Public Finance will find taking the course more natural because the issues of the proper role of government in a market or mixed economy, the effects of different kinds of taxation on the distribution of income and wealth, and on economic efficiency will be more familiar. Students who have not had Public Finance will likely find it necessary to fill in gaps in their background as the course proceeds, and may have to do supplemental reading. Most required reading will be stored on Blackboard under Notes and Reading Materials, and questions to be discussed in class that pertain to the required reading will also be stored on Blackboard in the same folder. The course is organized into a series of topical sessions, and will be conducted on a lecture-discussion basis. Students are expected to have read the required reading before class. Students are also expected to own and know how to operate an electronic calculator (other than those contained in a cell phone*) that is capable of doing x^(a/b). Please be sure you bring such a calculator with you to class each session, bring your Strauss Bucks** to each session as well, and your answers to course session questions. Generally, students will find that reading the required readings and answering the questions to be discussed at hand will enhance their understanding of the materials to be read. Also, because the midterm and final exams will be based on the questions to be discussed, keeping track of the reading and questions to be discussed will materially aid in the preparation for the two exams. Students are expected to purchase themselves from an online or non-campus bookstore, a paperback version of The Federalist Papers. For example, a Signet Press version of this classic is available from Amazon.com for $7.95 plus shipping. Whether or not other required readings from various sources will entail other book purchases has not yet been determined. * Thanks to Christine Alagara for pointing this out in class several years ago. ** See http://www.andrew.cmu.edu/user/rs9f/pf04.html.",
Health Care Quality & Performance Improvement,90818,6," This course provides an overview of the current state of the quality movement in Health Care. A public health perspective as well as an individual perspective will be considered from both a U.S. and international view. Relevant history, current gurus, landmark publications, theories, tools, and environmental factors will be discussed. We will explore the cost/quality connection and analyze the complex forces that shape or hinder the transformation of health care from the current state to a person centered quality focused Health Care System. We will learn to use industrial models to improve processes in the health care industry. The concepts and skills needed to create a work environment where these tools can be utilized will also be explored.","Learning Outcomes: - Describe the current condition of health care from a global, national, local and individual perspective - Discuss the complex interrelationships among the factors affecting national, local, and global health - Discuss the history of the quality movement in health care including the contributions of significant publications and individuals - List the major regulatory agencies influencing health care quality and describe their contribution - Explain the complex forces influencing the current health care delivery system - Identify and utilize resources available to evaluate and improve quality in health care - Discuss definitions, theories, methods, tools, and systems commonly utilized in quality improvement efforts in health care and other industries - Identify the major barriers to improvement in health care quality and methods to overcome them - Formulate and implement an improvement project as team leader or team member - Utilize an A3 to solve a problem: - Define the problem and the business case - Utilize tools to clearly define and focus the need - Define a focus narrow enough to work - Define the actionable data collection needed - Clearly describe the current condition - Utilize observation skills - Draw the current condition utilizing process maps, diagrams and other tools - Add pertinent actionable data - Clearly describe the target condition - Make and implemented an action plan - Show rapid frequent problem solving cycles - Collect and display appropriate metrics - Show evidence of use of data to solve problem and use tools correctly to get to Target Condition - Show evidence of engagement of those doing the work in designing the work - Show evidence of reflection and learning - Demonstrate understanding of the rules of work design and show examples of application - Demonstrate knowledge of the 14 principles - Show understanding of the 5S process - Demonstrate ability to engage a team and teach the problem-solving method through example - Utilize and display data to demonstrate progress - Demonstrate understanding of basic coaching, change theory and teambuilding - Discuss the components of a healthy work environment and methods of measurement - Utilize an A3, a process map and a value stream maps to solve a problem - Discuss the patient safety movement in the context of performance improvement and quality - Discuss high reliability organizations and how it relates to patient safety and quality improvement - Show understanding of the effect of current policies, payment systems and regulatory agencies on quality"
Critical Analysis of Policy Research,90822,6," This course prepares students to understand, interpret, and critique existing policy research. The course focuses on the development of three essential skills for policy analysts: 1) Read and interpret empirical results in published research. 2) Understand the assumptions needed to infer causal relationships and assess their plausibility. 3) Recognize common problems in policy research, including reverse causality, omitted variables, measurement error, etc., and use graphical methods to determine the direction of the resulting statistical bias. Using these three skills, students will practice understanding and critiquing policy research. Moreover, by identifying and understanding potential problems, students can make valid conclusions even from seriously flawed research. At the end of the class, students demonstrate these skills by independently evaluating an existing piece of research of their choice, presenting their findings in a written report and in-class presentation.","Learning Outcomes: 1) Read and interpret empirical results in published research. 2) Understand the assumptions needed to infer causal relationships and assess their plausibility. 3) Recognize common problems in policy research, including reverse causality, omitted variables, measurement error, etc., and use graphical methods to determine the direction of the resulting statistical bias."
Program Evaluation,90823,12," Pre-Requisite(s): 90-711 or 90-786. In all parts of the world, from the local to the global level, governments, funding agencies, organizations, and individuals are involved in activities meant to improve some aspect of people’s lives – disaster relief in Haiti, human rights work in Sierra Leone, increasing school attendance in Detroit or improving outcomes for IV drug users in Barcelona, the list is long and ever changing. The needs addressed by these programs are often compelling and the programs themselves can be innovative, practical, and inspired. From those running and funding social programs to those whose needs are meant to be addressed by these programs a central question arises: Does this social program work? In this course you will learn how to gather and synthesize evidence to address this question. Program evaluation is the systematic application of social science methods to assess each aspect of a program: the need for the program, the program's design and implementation, and ultimately the program’s impact on relevant outcomes. A completed program evaluation results in (1) information regarding the program’s merit, worth, or significance, (2) an accounting of the objective strengths and limitations of this information and (3) the implications of both (1) and (2) for decision making. Program evaluations differ as much as the social programs they evaluate. Social programs may carry them out internally, or an external organization may be brought in. An evaluation may be highly quantitative or entirely qualitative; it may focus exclusively on needs assessment or assessing program implementation. Evaluations and their results may be highly politically charged or of interest only to direct stakeholders. There are excellent program evaluations that have had tremendous positive impacts on programs and their target populations. There are also poor or flawed program evaluations that provide weaker information than could have been obtained, provide incorrect information, or are misleading. This course is designed to familiarize the student with the central concepts and methods of program evaluation. Students will be taught how to conduct basic program evaluations as well as how to critique and monitor more comprehensive program evaluations. Successful completion of this course will prepare students to be contributing members of teams that design and carry out program evaluations or that commission program evaluations and make decisions based upon their results.","Learning Outcomes: • Be a valuable member of an evaluation team, able to contribute to both planning and execution, while having a solid foundation on which to build. • Be an informed consumer of program evaluations, and assist governments, agencies or funding organizations in making decisions based on evaluations. • Differentiate between strengths, limitations, and weaknesses of an evaluation and of a program, and communicate those distinctions clearly. • Understand the methods and concepts introduced in the course, AND be able to explain them clearly, in plain language, to diverse stakeholders with diverse backgrounds. • Identify when each method for evidence gathering and analysis would be appropriate or inappropriate, and defend those assessments. • Explain to a newly elected official how to best think about assessing government programs."
Cost Benefit Analysis,90824,6," Individuals and organizations are frequently presented with decisions about how best to allocate limited resources. Public organizations in particular have an obligation to use consistent and transparent analytic tools to inform tradeoffs among competing policy priorities such as the environment, health, safety, and security. Economics provides a theoretical foundation for the allocation of scarce resources, but in practice, there are a variety of challenges in measuring benefits and costs in quantitative and monetary terms. Such challenges include determining how to value benefits and costs experienced in the future, reductions in the risk of premature death and injury, and the distribution of these impacts among affected populations, as well as appropriately characterizing uncertainty. The ability to assess key assumptions and limitations is critical for both producers and consumers of cost-benefit analysis. Prerequisites Students must have completed EITHER 90-709 Intermediate Economic Analysis OR 90-710 Applied Economic Analysis, as well as 90-711 Empirical Methods.","Learning Outcomes: Through lectures, discussions, readings, problem sets, written assignments, and presentations, students will develop knowledge and skills that will enable them to: • Apply the analytic tools and techniques of cost-benefit analysis and microeconomics in the formulation and assessment of real-world policies. • Contribute to the development of defensible and transparent cost-benefit analyses. • Understand and identify the assumptions and limitations of cost-benefit analyses. • Critically assess cost-benefit analyses conducted by others. • Evaluate and compare alternative policies using the tools of cost-benefit analysis and microeconomics. • Communicate the results of the cost-benefit analysis to stakeholders in such a way as to facilitate political or administrative processes."
Innovation Management in Practice,90825,3," Innovation has been described as ""the intersection of invention and insight, leading to the creation of social and economic value."" Companies increasingly rely on innovation to establish and drive their success. Public policy makers see innovation as a critical driver for economic development. This course is an opportunity to learn about innovation management from those in the front lines. How are innovation opportunities identified? What are the challenges to realizing these opportunities, and how can the challenges be addressed? What roles are played by processes, technologies and the business environment, as well as by individuals in organizations? This course will feature speakers who drive innovation in a variety of settings, paired with readings from the innovation literature that will help frame the presentations and discussion.",
Advanced Financial Management of Health Care,90831,6," This mini-course builds upon the students learning basis from Financial Statements & Analysis of Companies (course 90-723). Advanced Financial Management of Health Care is designed to provide students with a general understanding of health systems financial management - including a conceptual framework, financial tools, and management techniques. The subjects covered will provide the background and analytic skills for students to evaluate select financial matters encountered in the overall management of health systems. The course includes lectures, substantial reading assignments and real world examples and discussions. Initial lectures include a historical perspective on health systems financial management issues, including the evolution of third party payors and various payment/reimbursement systems. This will also include issues impacting payments received from Medicare and commercial managed care insurers. Lectures will focus on federal and state health care policy decisions and the increasing impact on health systems finances. This background section will also include a theoretical and practical review of standard health systems financial management reports and effective techniques for using them. The course includes a section on integrated delivery systems and the currently evolving accountable care organizations arrangements between hospitals, physician organizations, long term care providers and managed care insurers. It will also address a number of initiatives the Center for Medicare and Medicaid Services (CMS) has in process or has proposed.",
